"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 13 18:19:27 BRT 2022","Fri May 13 18:19:34 BRT 2022","7713","","Shopping functions","","","","test succeeds on checking added to cart items matches the expected quantity",""
"passed","Fri May 13 18:19:18 BRT 2022","Fri May 13 18:19:27 BRT 2022","8348","","Shopping functions","","","","test succeeds on adding an item to shopping cart",""
"passed","Fri May 13 18:20:44 BRT 2022","Fri May 13 18:20:47 BRT 2022","3199","","Shopping functions","","","","test succeeds on store information validation",""
"passed","Fri May 13 18:20:20 BRT 2022","Fri May 13 18:20:30 BRT 2022","9725","","Shopping functions","","","","test succeeds on seeing the expected item big picture",""
"passed","Fri May 13 18:19:34 BRT 2022","Fri May 13 18:19:46 BRT 2022","11344","","Shopping functions","","","","test succeeds on removing item(s) from cart",""
"passed","Fri May 13 12:51:15 BRT 2022","Fri May 13 12:51:23 BRT 2022","7857","","Pages","","","","test succeeds on expected input values",""
"failed","Fri May 13 18:19:55 BRT 2022","Fri May 13 18:20:08 BRT 2022","12788","","Shopping functions","","","","test fails on searching and not encountering the expected output",""
"passed","Fri May 13 18:19:46 BRT 2022","Fri May 13 18:19:55 BRT 2022","9505","","Shopping functions","","","","test succeeds on searching and finding an item",""
"failed","Fri May 13 18:20:30 BRT 2022","Fri May 13 18:20:44 BRT 2022","13717","","Shopping functions","","","","test fails on not seeing the expected item big picture",""
"passed","Fri May 13 18:20:08 BRT 2022","Fri May 13 18:20:20 BRT 2022","11742","","Shopping functions","","","","test fails on searching an item and checking item photo correspondency",""
